Date,Ticker,Prediction
2026-03-06,VOX,193.88988528493437
2026-03-09,VOX,193.92840856098005
2026-03-10,VOX,193.96833709315763
2026-03-11,VOX,194.00782221437876
2026-03-12,VOX,194.04740411851802
2026-03-13,VOX,194.08696700632305
2026-03-16,VOX,194.12653345695324
2026-03-17,VOX,194.16609925110018
2026-03-18,VOX,194.20566516560254
2026-03-19,VOX,194.2452310580439
2026-03-20,VOX,194.2847969545338
2026-03-23,VOX,194.32436285027978
2026-03-24,VOX,194.36392874616257
2026-03-25,VOX,194.40349464202018
2026-03-26,VOX,194.44306053788242
2026-03-27,VOX,194.48262643374383
2026-03-30,VOX,194.52219232960536
2026-03-31,VOX,194.5617582254669
2026-04-01,VOX,194.60132412132842
2026-04-02,VOX,194.64089001718995
2026-04-03,VOX,194.68045591305147
2026-04-06,VOX,194.720021808913
2026-04-07,VOX,194.75958770477453
2026-04-08,VOX,194.79915360063606
2026-04-09,VOX,194.8387194964976
2026-04-10,VOX,194.87828539235912
2026-04-13,VOX,194.91785128822065
2026-04-14,VOX,194.95741718408217
2026-04-15,VOX,194.9969830799437
2026-04-16,VOX,195.03654897580523
2026-04-17,VOX,195.07611487166676
2026-04-20,VOX,195.1156807675283
2026-04-21,VOX,195.15524666338982
2026-04-22,VOX,195.19481255925135
2026-04-23,VOX,195.23437845511287
2026-04-24,VOX,195.2739443509744
2026-04-27,VOX,195.31351024683593
2026-04-28,VOX,195.35307614269746
2026-04-29,VOX,195.392642038559
2026-04-30,VOX,195.43220793442052
2026-05-01,VOX,195.47177383028205
2026-05-04,VOX,195.51133972614358
2026-05-05,VOX,195.5509056220051
2026-05-06,VOX,195.59047151786663
2026-05-07,VOX,195.63003741372816
2026-05-08,VOX,195.6696033095897
2026-05-11,VOX,195.70916920545122
2026-05-12,VOX,195.74873510131275
2026-05-13,VOX,195.78830099717428
2026-05-14,VOX,195.8278668930358
2026-05-15,VOX,195.86743278889733
2026-05-18,VOX,195.90699868475886
2026-05-19,VOX,195.9465645806204
2026-05-20,VOX,195.98613047648192
2026-05-21,VOX,196.02569637234345
2026-05-22,VOX,196.06526226820498
2026-05-25,VOX,196.1048281640665
2026-05-26,VOX,196.14439405992803
2026-05-27,VOX,196.18395995578956
2026-05-28,VOX,196.2235258516511
2026-05-29,VOX,196.26309174751262
2026-06-01,VOX,196.30265764337412
2026-06-02,VOX,196.34222353923565
2026-06-03,VOX,196.38178943509718
2026-06-04,VOX,196.4213553309587
2026-06-05,VOX,196.46092122682023
2026-06-08,VOX,196.50048712268176
2026-06-09,VOX,196.5400530185433
2026-06-10,VOX,196.57961891440482
2026-06-11,VOX,196.61918481026635
2026-06-12,VOX,196.65875070612788
2026-06-15,VOX,196.6983166019894
2026-06-16,VOX,196.73788249785093
2026-06-17,VOX,196.77744839371246
2026-06-18,VOX,196.817014289574
2026-06-19,VOX,196.85658018543552
2026-06-22,VOX,196.89614608129705
2026-06-23,VOX,196.93571197715858
2026-06-24,VOX,196.9752778730201
2026-06-25,VOX,197.01484376888163
2026-06-26,VOX,197.05440966474316
2026-06-29,VOX,197.0939755606047
2026-06-30,VOX,197.13354145646622
2026-07-01,VOX,197.17310735232775
2026-07-02,VOX,197.21267324818928
2026-07-03,VOX,197.2522391440508
2026-07-06,VOX,197.29180503991233
2026-07-07,VOX,197.33137093577386
2026-07-08,VOX,197.3709368316354
2026-07-09,VOX,197.41050272749692
2026-03-06,VCR,383.1864972982983
2026-03-09,VCR,383.2755657013499
2026-03-10,VCR,383.367267800064
2026-03-11,VCR,383.45806148870514
2026-03-12,VCR,383.5490526460924
2026-03-13,VCR,383.64000461816556
2026-03-16,VCR,383.73096401783283
2026-03-17,VCR,383.82192203427405
2026-03-18,VCR,383.91288030706926
2026-03-19,VCR,384.0038385323724
2026-03-20,VCR,384.0947967664793
2026-03-23,VCR,384.18575499895314
2026-03-24,VCR,384.27671323173
2026-03-25,VCR,384.36767146445067
2026-03-26,VCR,384.4586296971818
2026-03-27,VCR,384.5495879299109
2026-03-30,VCR,384.6405461626404
2026-03-31,VCR,384.7315043953699
2026-04-01,VCR,384.82246262809934
2026-04-02,VCR,384.91342086082875
2026-04-03,VCR,385.0043790935582
2026-04-06,VCR,385.0953373262877
2026-04-07,VCR,385.18629555901714
2026-04-08,VCR,385.2772537917466
2026-04-09,VCR,385.36821202447607
2026-04-10,VCR,385.45917025720547
2026-04-13,VCR,385.55012848993493
2026-04-14,VCR,385.6410867226644
2026-04-15,VCR,385.73204495539386
2026-04-16,VCR,385.8230031881233
2026-04-17,VCR,385.9139614208528
2026-04-20,VCR,386.0049196535822
2026-04-21,VCR,386.09587788631165
2026-04-22,VCR,386.1868361190411
2026-04-23,VCR,386.2777943517706
2026-04-24,VCR,386.36875258450004
2026-04-27,VCR,386.4597108172295
2026-04-28,VCR,386.5506690499589
2026-04-29,VCR,386.6416272826884
2026-04-30,VCR,386.73258551541784
2026-05-01,VCR,386.8235437481473
2026-05-04,VCR,386.91450198087676
2026-05-05,VCR,387.00546021360617
2026-05-06,VCR,387.09641844633563
2026-05-07,VCR,387.1873766790651
2026-05-08,VCR,387.27833491179456
2026-05-11,VCR,387.369293144524
2026-05-12,VCR,387.4602513772535
2026-05-13,VCR,387.5512096099829
2026-05-14,VCR,387.64216784271235
2026-05-15,VCR,387.7331260754418
2026-05-18,VCR,387.8240843081713
2026-05-19,VCR,387.91504254090074
2026-05-20,VCR,388.0060007736302
2026-05-21,VCR,388.0969590063596
2026-05-22,VCR,388.1879172390891
2026-05-25,VCR,388.27887547181854
2026-05-26,VCR,388.369833704548
2026-05-27,VCR,388.46079193727746
2026-05-28,VCR,388.5517501700069
2026-05-29,VCR,388.64270840273633
2026-06-01,VCR,388.7336666354658
2026-06-02,VCR,388.82462486819526
2026-06-03,VCR,388.9155831009247
2026-06-04,VCR,389.0065413336542
2026-06-05,VCR,389.09749956638365
2026-06-08,VCR,389.18845779911305
2026-06-09,VCR,389.2794160318425
2026-06-10,VCR,389.370374264572
2026-06-11,VCR,389.46133249730144
2026-06-12,VCR,389.5522907300309
2026-06-15,VCR,389.64324896276037
2026-06-16,VCR,389.7342071954898
2026-06-17,VCR,389.82516542821924
2026-06-18,VCR,389.9161236609487
2026-06-19,VCR,390.00708189367816
2026-06-22,VCR,390.0980401264076
2026-06-23,VCR,390.18899835913703
2026-06-24,VCR,390.2799565918665
2026-06-25,VCR,390.37091482459596
2026-06-26,VCR,390.4618730573254
2026-06-29,VCR,390.5528312900549
2026-06-30,VCR,390.64378952278435
2026-07-01,VCR,390.73474775551375
2026-07-02,VCR,390.8257059882432
2026-07-03,VCR,390.9166642209727
2026-07-06,VCR,391.00762245370214
2026-07-07,VCR,391.0985806864316
2026-07-08,VCR,391.18953891916107
2026-07-09,VCR,391.2804971518905
2026-03-06,VDC,237.1782382336765
2026-03-09,VDC,237.22656288230428
2026-03-10,VDC,237.27596932392447
2026-03-11,VDC,237.3250347995607
2026-03-12,VDC,237.37419295726363
2026-03-13,VDC,237.42333061349046
2026-03-16,VDC,237.4724723725199
2026-03-17,VDC,237.52161334664035
2026-03-18,VDC,237.5707544682563
2026-03-19,VDC,237.61989556229386
2026-03-20,VDC,237.6690366614912
2026-03-23,VDC,237.71817775972116
2026-03-24,VDC,237.76731885813282
2026-03-25,VDC,237.81645995651033
2026-03-26,VDC,237.86560105489423
2026-03-27,VDC,237.91474215327696
2026-03-30,VDC,237.9638832516599
2026-03-31,VDC,238.0130243500428
2026-04-01,VDC,238.0621654484257
2026-04-02,VDC,238.1113065468086
2026-04-03,VDC,238.1604476451915
2026-04-06,VDC,238.20958874357441
2026-04-07,VDC,238.25872984195732
2026-04-08,VDC,238.30787094034022
2026-04-09,VDC,238.35701203872313
2026-04-10,VDC,238.40615313710603
2026-04-13,VDC,238.45529423548894
2026-04-14,VDC,238.50443533387184
2026-04-15,VDC,238.55357643225474
2026-04-16,VDC,238.60271753063765
2026-04-17,VDC,238.65185862902055
2026-04-20,VDC,238.70099972740346
2026-04-21,VDC,238.75014082578636
2026-04-22,VDC,238.79928192416926
2026-04-23,VDC,238.84842302255217
2026-04-24,VDC,238.89756412093507
2026-04-27,VDC,238.94670521931798
2026-04-28,VDC,238.99584631770088
2026-04-29,VDC,239.04498741608379
2026-04-30,VDC,239.0941285144667
2026-05-01,VDC,239.1432696128496
2026-05-04,VDC,239.1924107112325
2026-05-05,VDC,239.2415518096154
2026-05-06,VDC,239.2906929079983
2026-05-07,VDC,239.3398340063812
2026-05-08,VDC,239.3889751047641
2026-05-11,VDC,239.43811620314702
2026-05-12,VDC,239.48725730152992
2026-05-13,VDC,239.53639839991283
2026-05-14,VDC,239.58553949829573
2026-05-15,VDC,239.63468059667866
2026-05-18,VDC,239.68382169506157
2026-05-19,VDC,239.73296279344447
2026-05-20,VDC,239.78210389182738
2026-05-21,VDC,239.83124499021028
2026-05-22,VDC,239.88038608859318
2026-05-25,VDC,239.9295271869761
2026-05-26,VDC,239.978668285359
2026-05-27,VDC,240.0278093837419
2026-05-28,VDC,240.0769504821248
2026-05-29,VDC,240.1260915805077
2026-06-01,VDC,240.1752326788906
2026-06-02,VDC,240.2243737772735
2026-06-03,VDC,240.27351487565642
2026-06-04,VDC,240.32265597403932
2026-06-05,VDC,240.37179707242223
2026-06-08,VDC,240.42093817080513
2026-06-09,VDC,240.47007926918803
2026-06-10,VDC,240.51922036757094
2026-06-11,VDC,240.56836146595384
2026-06-12,VDC,240.61750256433675
2026-06-15,VDC,240.66664366271965
2026-06-16,VDC,240.71578476110255
2026-06-17,VDC,240.76492585948546
2026-06-18,VDC,240.81406695786836
2026-06-19,VDC,240.86320805625127
2026-06-22,VDC,240.91234915463417
2026-06-23,VDC,240.96149025301708
2026-06-24,VDC,241.01063135139998
2026-06-25,VDC,241.05977244978288
2026-06-26,VDC,241.1089135481658
2026-06-29,VDC,241.1580546465487
2026-06-30,VDC,241.2071957449316
2026-07-01,VDC,241.2563368433145
2026-07-02,VDC,241.3054779416974
2026-07-03,VDC,241.3546190400803
2026-07-06,VDC,241.4037601384632
2026-07-07,VDC,241.45290123684612
2026-07-08,VDC,241.50204233522902
